interval,number_of_buses,total_passengers_served,total_passengers_lost,revenue_gained,revenue_lost,total_wait_time,average_wait_time,program_execution_time
5,142,5661,7850,16983,23550,27630.84,4.88,0.5836048126220703
5,142,5681,7437,17043,22311,26278.69,4.63,0.5893537998199463
5,142,5701,7734,17103,23202,25842.91,4.53,0.5875401496887207
5,142,5706,7987,17118,23961,26326.77,4.61,0.602168083190918
5,142,5731,7817,17193,23451,26364.4,4.6,0.5879271030426025
5,142,5699,7096,17097,21288,25132.84,4.41,0.583402156829834
5,142,5707,7523,17121,22569,25583.77,4.48,0.585576057434082
5,142,5720,7858,17160,23574,27592.54,4.82,0.5867900848388672
5,142,5672,7520,17016,22560,25913.97,4.57,0.5928750038146973
5,142,5672,7486,17016,22458,25681.51,4.53,0.5887119770050049
5,142,5669,8114,17007,24342,27441.25,4.84,0.5992958545684814
5,142,5682,7561,17046,22683,27176.2,4.78,0.5856120586395264
5,142,5679,7526,17037,22578,26737.49,4.71,0.5908710956573486
5,142,5701,8113,17103,24339,27240.32,4.78,0.5907578468322754
5,142,5686,7836,17058,23508,26438.13,4.65,0.6042299270629883
5,142,5698,7702,17094,23106,26363.35,4.63,0.6039590835571289
5,142,5730,7541,17190,22623,26439.14,4.61,0.6001029014587402
5,142,5685,8100,17055,24300,27013.09,4.75,0.5953881740570068
5,142,5675,7493,17025,22479,25181.71,4.44,0.589508056640625
5,142,5677,7704,17031,23112,26814.16,4.72,0.5884449481964111
5,142,5654,7427,16962,22281,25534.07,4.52,0.5857491493225098
5,142,5674,7965,17022,23895,27211.2,4.8,0.5867600440979004
5,142,5644,7686,16932,23058,26784.49,4.75,0.5917339324951172
5,142,5682,7489,17046,22467,25604.94,4.51,0.5971839427947998
5,142,5702,8002,17106,24006,27789.69,4.87,0.5890827178955078
5,142,5677,8086,17031,24258,28315.91,4.99,0.5958211421966553
5,142,5728,7792,17184,23376,26058.3,4.55,0.5888879299163818
5,142,5636,7725,16908,23175,26715.41,4.74,0.5913221836090088
5,142,5719,7630,17157,22890,27539.79,4.82,0.5807230472564697
5,142,5671,7820,17013,23460,26677.08,4.7,0.5875740051269531
5,142,5655,7661,16965,22983,26460.91,4.68,0.5836889743804932
5,142,5733,7289,17199,21867,25839.06,4.51,0.5956730842590332
5,142,5657,7500,16971,22500,25182.24,4.45,0.589698076248169
5,142,5700,7707,17100,23121,27298.46,4.79,0.5822789669036865
5,142,5680,7763,17040,23289,25842.75,4.55,0.5914688110351562
5,142,5655,8162,16965,24486,26898.34,4.76,0.5908207893371582
5,142,5680,7761,17040,23283,26360.15,4.64,0.591019868850708
5,142,5711,7784,17133,23352,26430.37,4.63,0.5998430252075195
5,142,5653,7865,16959,23595,27330.6,4.83,0.5923459529876709
5,142,5685,7635,17055,22905,25895.9,4.56,0.5805730819702148
5,142,5688,7840,17064,23520,26159.18,4.6,0.5866332054138184
5,142,5672,7625,17016,22875,25573.38,4.51,0.587501049041748
5,142,5681,8029,17043,24087,28159.93,4.96,0.58614182472229
5,142,5686,7561,17058,22683,26315.33,4.63,0.586834192276001
5,142,5662,7250,16986,21750,25903.87,4.58,0.586341142654419
5,142,5711,7956,17133,23868,26532.05,4.65,0.5927901268005371
5,142,5714,7824,17142,23472,26778.96,4.69,0.5946228504180908
5,142,5716,7745,17148,23235,27108.45,4.74,0.5854160785675049
5,142,5683,7854,17049,23562,26328.17,4.63,0.5845859050750732
5,142,5729,8056,17187,24168,26337.37,4.6,0.5950369834899902
5,142,5675,7718,17025,23154,27142.64,4.78,0.588839054107666
5,142,5686,7862,17058,23586,26936.9,4.74,0.5881080627441406
5,142,5685,7620,17055,22860,26392.46,4.64,0.5822451114654541
5,142,5674,7902,17022,23706,27183.71,4.79,0.5904419422149658
5,142,5671,7494,17013,22482,26395.51,4.65,0.586029052734375
5,142,5685,7814,17055,23442,26293.63,4.63,0.5840649604797363
5,142,5677,8057,17031,24171,26481.25,4.66,0.5926840305328369
5,142,5704,7437,17112,22311,25614.51,4.49,0.5878090858459473
5,142,5757,7801,17271,23403,27305.29,4.74,0.5924758911132812
5,142,5697,7905,17091,23715,26801.05,4.7,0.5893440246582031
5,142,5716,7540,17148,22620,26365.38,4.61,0.5833010673522949
5,142,5685,7630,17055,22890,26789.69,4.71,0.5984320640563965
5,142,5672,7760,17016,23280,26073.48,4.6,0.5894627571105957
5,142,5689,7585,17067,22755,26494.86,4.66,0.5867369174957275
5,142,5670,7455,17010,22365,26095.61,4.6,0.5910398960113525
